launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Venus_ms,dv_node_2_Earth_ms,dv_node_3_Mars_ms,dv_node_4_Jupiter_ms
2035-12-17 00:00:00.000000,13906.955744327384,2829.2918655287986,4521.47,3771.14,2567.42,1910.26,1136.67
2036-01-17 00:00:00.000000,16470.36330824336,2798.7006842918913,4222.69,6038.22,3166.28,1908.7,1134.48
2036-03-15 23:59:59.999998,16948.15468446476,2204.7724883520486,3738.19,28.5,0.0,12035.56,1145.91
2036-04-16 00:00:00.000000,14864.928652359074,2087.3447912218053,4150.19,1567.98,0.0,7918.81,1227.95
2036-05-16 00:00:00.000000,12267.543053401,2109.6658904888213,4809.71,0.0,0.0,6326.42,1131.41
2036-06-16 00:00:00.000000,10489.766752202584,2153.308344494984,4386.57,0.0,0.0,5092.26,1010.94
2036-06-26 21:22:52.403259,10342.470421161921,2181.344362189212,4423.33,240.2,0.0,4711.71,967.22
2036-07-17 00:00:00.000000,11174.92401783689,2428.744070515134,4667.04,724.5,0.0,4749.48,1033.9
2036-08-17 00:00:00.000000,14150.75591126285,2588.697355598305,5141.97,804.1,2350.04,4735.84,1118.81
2036-09-16 00:00:00.000000,15270.431910422321,2534.3782257735793,9004.29,12.42,0.0,4987.78,1265.94
2036-11-16 00:00:00.000000,14777.474447360635,2056.509409813711,7254.09,0.0,1508.83,5096.62,917.94
2036-12-06 18:41:06.850821,14362.636473665389,2130.2543720810377,7023.37,0.0,2117.31,4386.36,835.6
2037-01-10 00:45:54.285210,11581.165642604374,2064.8995436270716,6245.55,0.0,0.0,4482.39,853.22
2037-02-16 00:00:00.000000,10955.288880455646,2042.864899912663,5714.33,0.0,0.0,4399.66,841.31
2037-03-16 00:00:00.000000,10713.200526868248,2008.4063271457137,5434.14,0.0,0.0,4432.8,846.26
2037-03-22 03:49:00.287544,10686.1082387854,1999.6237772425084,5390.44,0.0,0.0,4447.32,848.35
2037-04-16 00:00:00.000000,13849.640057352262,1960.8034225828994,5257.57,3196.24,0.0,4535.6,860.23
2037-06-16 00:00:00.000000,10224.947411726798,2433.2429922130445,4868.34,0.0,946.02,3158.52,1252.06
