launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Venus_ms,dv_node_2_Mars_ms,dv_node_3_Earth_ms,dv_node_4_Jupiter_ms
2039-12-15 23:59:59.999999,37452.998636163175,2096.4723480060943,6069.47,28513.96,1404.14,0.0,1465.42
2040-01-16 00:00:00.000000,32976.47188833967,2161.458226498899,6866.63,24315.8,0.0,178.22,1615.82
2040-02-16 00:00:00.000000,29802.37401021357,2173.0985153407137,7680.21,20169.38,0.0,268.41,1684.37
2040-03-15 23:59:59.999996,28801.759125843517,2137.813493135381,8747.38,18279.85,0.0,82.1,1692.43
2040-04-16 00:00:00.000000,27248.95794688537,1818.5176597283958,10392.69,15140.26,0.0,207.66,1508.35
2040-05-06 07:28:52.572454,23497.28813358214,1565.4166428181682,11504.64,9024.08,568.05,836.66,1563.84
2040-05-17 00:00:00.000000,24296.474083953115,1572.087446900553,13063.17,7714.55,1112.36,842.96,1563.44
2040-07-09 01:22:53.005824,30284.254484022207,2795.9318679015364,5461.91,21729.43,190.78,0.0,2902.13
2040-08-16 00:00:00.000000,28104.93870839933,2355.9336759040207,7028.54,17318.51,0.0,840.82,2917.07
2040-09-15 10:16:53.711651,26423.634838261067,2727.5107750280085,5784.04,17548.74,187.38,0.0,2903.48
2040-10-14 14:08:32.471582,24078.592870325327,2296.344411186829,9437.54,10883.16,0.0,840.82,2917.07
2040-11-16 00:00:00.000000,22904.382657981456,2634.496537063674,7327.74,12233.09,515.5,0.0,2828.05
2040-11-26 03:37:12.407891,22409.003608543782,2655.887083658018,6737.94,12575.93,194.31,0.0,2900.82
2040-12-17 00:00:00.000000,23596.69006526462,2641.5842595056065,6136.48,12853.41,406.92,1466.31,2733.56
2041-02-16 00:00:00.000000,25883.582042587223,1945.4076247045123,3913.41,795.96,19432.29,463.81,1278.11
2041-02-22 09:26:34.793930,25853.167479070842,1943.9676873262233,3894.22,769.71,19463.28,456.68,1269.28
2041-03-17 00:00:00.000000,26196.982801673723,1941.9223873148494,4237.7,685.57,19606.76,429.36,1237.58
2041-04-16 00:00:00.000000,27718.868906599047,1987.5264253938253,5598.14,394.8,20190.78,357.16,1178.0
2041-06-05 21:17:23.616192,27372.642852704103,1819.405789808322,10545.67,6893.74,8149.49,473.35,1310.4
2041-07-15 23:59:59.999999,25714.983028930244,2447.8528726002,9298.01,45.53,12894.03,1821.51,1655.9
2041-08-16 00:00:00.000000,22630.75924293651,2501.9827014697184,7861.33,681.46,10353.6,1981.59,1752.79
2041-08-24 00:30:50.065942,22117.59016349828,2493.9612886693703,7579.38,629.1,10174.74,1981.59,1752.79
2041-09-16 00:00:00.000001,23992.165195818547,2517.298786387755,7142.58,0.0,9002.51,5903.11,1943.96
2041-10-17 00:00:00.000000,29103.32762995536,2491.565070960827,7065.88,4608.31,8909.76,6532.07,1987.32
2041-11-16 00:00:00.000000,34956.24369303243,2461.5650709607817,9254.52,8338.68,8843.65,6532.07,1987.32
2041-12-17 00:00:00.000000,39972.58081778207,2430.565070960797,8923.65,13669.59,8859.95,6532.07,1987.32
2042-02-16 00:00:00.000000,42562.655897817654,1591.4870445237502,5193.38,26101.82,9648.99,351.58,1266.89
2042-03-16 00:00:00.000000,37264.02357862916,1520.4766809079713,4855.1,23826.77,6236.04,971.19,1374.92
2042-04-16 00:00:00.000000,32451.915322341105,1594.9351342750426,4366.76,20776.04,5408.74,647.81,1252.56
2042-05-16 00:00:00.000000,28956.28888385016,1666.4184942192364,4030.18,18395.98,4777.34,513.84,1238.95
2042-06-16 00:00:00.000000,26530.939747812532,1754.7700306097288,3847.44,16728.12,4104.56,554.91,1295.9
2042-07-09 23:47:55.232537,25725.85449487444,1881.6198591280474,3852.32,16262.77,3293.23,889.58,1427.96
2042-07-17 00:00:00.000001,25898.638535238846,1890.4310438702826,3937.5,16311.35,3264.52,941.23,1444.04
2042-09-16 00:00:00.000000,22528.923040027006,2844.9422080113254,4198.19,16565.48,3.58,0.0,1761.67
2042-10-16 00:00:00.000000,16978.99342150233,2804.2691755955134,5119.27,9979.79,0.0,0.0,1879.93
2042-11-16 00:00:00.000000,12466.91625647709,2770.2560834038995,4645.19,5903.44,0.0,0.0,1918.29
2042-11-30 18:25:00.577534,12155.143701107225,2754.9497617220686,4557.88,5671.87,0.0,0.0,1925.39
