launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Venus_ms,dv_node_2_Earth_ms,dv_node_3_Jupiter_ms
2040-05-16 00:00:00.000000,11341.322919431219,1735.216537089029,6610.1,184.21,2955.88,1591.14
2040-06-10 16:45:08.385656,8035.665569956351,1904.7851729656622,6662.28,75.04,0.0,1298.34
2040-06-16 00:00:00.000000,8070.248862940204,1993.6960370527697,6604.34,125.86,0.0,1340.06
2040-08-16 00:00:00.000000,8048.08865692351,1724.215316706782,5736.97,936.68,0.0,1374.44
2040-09-06 08:36:16.337306,7484.866822360249,1942.516573319474,5182.07,941.91,0.0,1360.88
2040-09-16 00:00:00.000000,7504.258013892172,2057.229999182608,5033.67,967.26,0.0,1503.33
2040-11-15 23:59:59.999999,8003.128509791424,2237.7963652143826,4332.57,1797.07,0.0,1873.49
2040-12-16 00:00:00.000000,8002.254344668612,1436.5417313003477,3697.75,0.0,3141.84,1162.67
2040-12-25 02:14:23.793114,7970.102218007425,1440.6045827286935,3652.09,0.0,3150.95,1167.06
2041-01-17 00:00:00.000000,8212.578195438831,1456.6901237161335,3847.48,0.0,3178.26,1186.84
2041-02-14 00:00:00.000000,9832.291027380525,1389.3783036454997,5444.43,0.0,3219.62,1168.24
2041-03-17 00:00:00.000000,14765.611098933561,2543.8965271971056,12749.42,0.0,0.0,2016.2
2041-05-16 00:00:00.000000,22809.61801183154,1385.6347648069377,5258.93,11906.49,4111.78,1532.41
2041-06-15 23:59:59.999999,19519.94528235103,1393.49367486779,5448.09,11283.88,1381.61,1406.36
2041-07-16 00:00:00.000000,16731.24662732313,1632.277789645483,6148.08,6501.35,2247.14,1834.67
2041-08-16 00:00:00.000000,11935.783793054405,1686.1022520278752,7861.33,2580.92,0.04,1493.5
2041-09-16 00:00:00.000000,8806.344995683188,1733.3714041603619,7472.46,0.0,0.0,1333.89
2041-10-01 02:56:13.446171,8557.043773739695,1853.9514054408114,7257.48,0.0,0.0,1299.56
2041-10-17 00:00:00.000000,8654.007808081433,2060.5880570014615,7145.41,0.0,0.0,1508.6
2041-11-16 00:00:00.000000,8998.814360573026,2359.4238334150577,6972.03,0.0,101.01,1925.78
2041-12-17 00:00:00.000000,11680.33864172984,2713.7095679659715,7549.92,2158.0,0.0,1972.42
2042-01-17 00:00:00.000002,12833.876239410753,1275.623285613981,5519.07,978.01,5116.25,1220.55
2042-02-14 00:00:00.000000,14321.829713953268,1344.0246073945736,5516.39,2494.18,5131.23,1180.03
2042-03-17 00:00:00.000001,16216.41417021624,1873.9242949380573,4838.84,3592.63,6010.18,1774.77
2042-04-16 00:00:00.000000,19063.265922559847,1859.093742437071,5123.33,4550.5,7596.77,1792.67
2042-06-16 00:00:00.000000,19955.13902157532,1629.3385862472687,5306.06,2108.15,10410.17,2130.76
2042-07-16 00:00:00.000000,15638.798920292664,1661.9174300094094,5041.92,2507.34,6292.39,1797.15
2042-08-16 00:00:00.000000,10597.950576581976,1683.2077924518467,4880.36,2726.94,1423.3,1567.35
2042-09-16 00:00:00.000000,7829.680945153487,1711.9989450311455,4114.35,2301.31,0.0,1414.02
2042-10-09 16:29:52.589334,7384.709506216053,1717.8510806473914,3936.2,2071.08,0.0,1377.43
2042-10-17 00:00:00.000000,7424.47596786735,1720.142768513901,4021.42,2033.65,0.0,1369.4
2042-11-16 00:00:00.000000,8459.4517979536,1739.6292962086272,5208.47,1897.89,0.0,1353.09
