launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Mars_ms,dv_node_2_Earth_ms,dv_node_3_Venus_ms,dv_node_4_Jupiter_ms
2039-11-16 00:00:00.000000,28013.184466273357,3370.772377133836,6320.0,0.0,17572.01,1906.28,2214.89
2039-12-17 00:00:00.000014,31297.930113040886,1556.3621993927093,6839.86,7607.49,10609.64,4251.66,1989.28
2040-02-16 00:00:00.000000,29513.485266455453,1456.814441824208,11415.85,9317.53,1150.42,5002.45,2627.24
2040-03-11 05:39:38.791664,28849.941030894362,1519.4175507825191,13301.26,8575.01,0.0,4686.26,2287.41
2040-03-17 00:00:00.000001,28994.061290541726,1578.9740558658168,13788.52,8542.31,0.0,4502.34,2160.9
2040-05-14 12:44:33.494722,29639.415691584818,1486.3550097741481,22722.95,0.0,0.0,4619.36,2297.11
2040-06-03 23:55:15.592064,29895.62859458224,1669.1276966910043,23792.82,204.14,2155.53,1346.74,2396.4
2040-06-20 07:40:19.763864,31967.18451164241,1519.8550908744799,23940.18,1685.12,0.0,3482.16,2859.73
2040-08-16 00:00:00.000000,28851.89033872586,2024.3617769224838,18299.22,8513.11,0.0,208.29,1831.27
2040-09-16 00:00:00.000000,24583.237418477813,2194.3384478989656,17726.37,5283.63,0.0,0.0,1573.24
2040-10-15 23:59:59.999999,22150.709995902296,2486.631532724612,16467.72,4145.11,0.0,0.0,1537.89
2040-11-16 00:00:00.000000,20006.699647130554,2458.2088167426027,15353.17,3135.67,0.0,0.0,1517.86
2040-12-15 23:59:59.999999,18148.67610034765,2665.478621888616,15016.82,1669.15,0.0,0.0,1462.71
2041-01-16 00:00:00.000000,16590.001470104547,2917.78836411951,14630.06,191.44,0.0,0.0,1768.51
2041-02-14 13:04:29.507534,16191.575334191559,3162.4802166601007,14101.2,0.0,0.0,0.0,2090.38
2041-02-14 13:04:29.507530,16191.575334191843,3162.480216659863,14101.2,0.0,0.0,0.0,2090.38
2041-04-10 07:43:53.545110,20482.81080702655,3107.7028551142703,10905.2,334.82,7152.41,0.0,2090.38
2041-04-16 00:00:00.000000,20770.95425359798,3102.025002619801,10372.75,917.07,7390.76,0.0,2090.38
2041-05-17 00:00:00.000000,22563.130345568105,3071.0250026271165,9110.55,6851.31,4510.9,0.0,2090.38
2041-07-16 00:00:00.000000,22199.88027010573,3481.786318889109,6804.48,2861.99,10633.24,0.0,1900.17
2041-08-07 23:57:25.460698,20836.14200275107,3458.788107538441,6582.94,1719.8,10633.24,0.0,1900.17
2041-09-16 00:00:00.000000,18772.702892990896,3419.7863188891097,5894.27,0.0,10978.27,0.0,1900.17
2041-10-15 23:59:59.999998,18188.901674495144,3389.7863188891297,4669.2,0.0,11619.54,0.0,1900.17
2041-10-23 23:57:21.733432,18167.573987526597,3381.7881506780964,4496.83,0.0,11770.58,0.0,1900.17
2041-11-16 00:00:00.000000,18425.191747333596,3358.786318889109,4422.36,0.0,12102.67,0.0,1900.17
2041-12-17 00:00:00.000000,20368.026350433534,3327.7863188891097,6055.0,0.0,12412.86,0.0,1900.17
2042-01-17 00:00:00.000000,27380.805896685903,3296.786318889105,10786.81,1565.98,13127.85,0.0,1900.17
2042-03-16 00:00:00.000000,28832.39898230072,1408.8949339381213,9344.9,9508.02,3542.08,4270.44,2166.96
2042-04-14 14:14:18.116622,27130.50366678013,1399.063429593678,10969.59,8760.92,0.0,5116.26,2283.74
2042-04-16 00:00:00.000011,27135.018466668545,1402.941229145777,11047.44,8696.4,0.0,5125.96,2265.22
2042-05-17 00:00:00.000001,28163.02036527113,1395.0171929122077,14323.16,6322.7,0.0,5291.17,2225.99
2042-06-16 00:00:00.000000,28801.497820420835,1354.6665871576602,18247.27,2702.52,0.0,5531.05,2320.66
2042-07-17 00:00:00.000002,30584.59440787933,1475.3963297223227,20888.56,1355.68,2306.27,3266.94,2767.14
2042-08-17 00:00:00.000001,32377.040779357627,1391.5444950513665,23123.21,1602.14,0.0,4698.94,2952.75
2042-10-16 00:00:00.000000,31321.936858957888,1938.5702836366188,18195.13,10811.42,0.0,561.4,1753.98
2042-11-16 00:00:00.000000,27210.848989972692,2137.4869426204714,17368.46,8050.44,0.0,0.0,1791.94
2042-12-15 23:59:59.999996,24740.679769700066,2285.1976012839586,17844.35,4314.61,0.0,1102.81,1478.92
