launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Venus_ms,dv_node_2_Earth_ms,dv_node_3_Jupiter_ms
2040-05-16 00:00:00.000000,11341.322919431204,1735.2165366037818,6610.1,184.21,2955.88,1591.14
2040-06-10 16:45:08.302829,8035.665569956416,1904.7851546302318,6662.28,75.04,0.0,1298.34
2040-06-16 00:00:00.000000,8070.248862940201,1993.6960388362609,6604.34,125.86,0.0,1340.06
2040-08-16 00:00:00.000000,8048.0886569234735,1724.215311579794,5736.97,936.68,0.0,1374.44
2040-09-06 08:36:15.857050,7484.866822360193,1942.5164919996862,5182.07,941.91,0.0,1360.88
2040-09-16 00:00:00.000000,7504.258013892195,2057.229996184214,5033.67,967.26,0.0,1503.33
2040-11-15 23:59:59.999999,8003.128509791474,2237.796379451716,4332.57,1797.07,0.0,1873.49
2040-12-11 12:13:04.020245,7596.556996678182,2291.921311240317,3907.72,1706.37,0.0,1982.46
2040-12-25 02:14:24.206819,7970.10221800749,1440.604606754171,3652.09,0.0,3150.95,1167.06
2041-01-17 00:00:00.000000,8212.578195438835,1456.6901244360079,3847.48,0.0,3178.26,1186.84
2041-02-14 00:00:00.000000,9832.291027380561,1389.378298941112,5444.43,0.0,3219.62,1168.24
2041-03-17 00:00:00.000000,14765.611098933488,2543.896440476317,12749.42,0.0,0.0,2016.2
2041-05-16 00:00:00.000000,22809.618011831575,1385.6347646766155,5258.93,11906.49,4111.78,1532.41
2041-06-15 23:59:59.999999,19519.945282351015,1393.493679885252,5448.09,11283.88,1381.61,1406.36
2041-07-16 00:00:00.000000,16731.246627323097,1632.2778094371747,6148.08,6501.35,2247.14,1834.67
2041-08-09 11:01:19.682098,14320.984374454034,1309.197154280445,6375.78,2760.02,3583.27,1601.92
2041-09-16 00:00:00.000000,8806.344995683197,1733.371431380278,7472.46,0.0,0.0,1333.89
2041-10-01 02:56:13.566298,8557.04377373969,1853.9514275126332,7257.48,0.0,0.0,1299.56
2041-10-17 00:00:00.000000,8654.007808081433,2060.5880570014606,7145.41,0.0,0.0,1508.6
2041-11-16 00:00:00.000000,8998.814360573026,2359.4238334150605,6972.03,0.0,101.01,1925.78
2042-01-15 23:59:59.999999,12836.362382668172,1264.9504311794233,5537.24,940.06,5125.09,1233.96
2042-01-17 00:00:00.000002,12833.876239410853,1275.6233065445165,5519.07,978.01,5116.25,1220.55
2042-02-14 00:00:00.000000,14321.829713953362,1344.024685013048,5516.39,2494.18,5131.23,1180.03
2042-03-17 00:00:00.000001,16216.41417021649,1873.9242963289034,4838.84,3592.63,6010.18,1774.77
2042-04-16 00:00:00.000000,19063.26592255994,1859.0937396823463,5123.33,4550.5,7596.77,1792.67
2042-06-16 00:00:00.000000,19955.13902157532,1629.3385842820444,5306.06,2108.15,10410.17,2130.76
2042-07-16 00:00:00.000000,15638.798920292806,1661.9174506391632,5041.92,2507.34,6292.39,1797.15
2042-08-16 00:00:00.000000,10597.95057658202,1683.207801882197,4880.36,2726.94,1423.3,1567.35
2042-09-16 00:00:00.000000,7829.680945153484,1711.9989207143965,4114.35,2301.31,0.0,1414.02
2042-10-09 16:29:53.061150,7384.709506216101,1717.8510353794563,3936.2,2071.08,0.0,1377.43
2042-10-17 00:00:00.000000,7424.475967867401,1720.1427409811902,4021.42,2033.65,0.0,1369.4
2042-11-16 00:00:00.000000,8509.11566686127,1489.9631476643985,4541.15,0.0,2710.08,1257.89
