launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Mars_ms,dv_node_2_Earth_ms,dv_node_3_Earth_ms,dv_node_4_Jupiter_ms
2039-12-17 00:00:00.000287,22243.12268773142,2182.993697839473,5141.22,11789.88,559.07,3575.09,1177.85
2040-01-17 00:00:00.000214,25896.186335987026,2119.2720955649334,7327.29,13205.5,563.12,3631.5,1168.77
2040-02-25 17:23:30.773160,26871.64301980369,2330.7567444735205,8206.1,15773.32,0.0,1658.8,1233.43
2040-03-17 00:00:00.000004,27009.514514127004,2749.082474554593,8330.1,16588.82,190.9,742.68,1157.02
2040-04-16 00:00:00.000000,28013.929915133434,3078.2953271201627,9152.67,16531.73,683.93,315.23,1330.38
2040-05-17 00:00:00.000001,28680.12466341592,2243.522148979102,10413.18,13654.24,52.81,3316.63,1243.27
2040-06-16 00:00:00.000000,29573.279434830933,2202.9838785259003,11925.86,13053.5,428.54,2907.28,1258.1
2040-07-17 00:00:00.000000,30979.424727707075,2172.171117978102,13847.48,12746.9,647.84,2479.83,1257.37
2040-09-16 00:00:00.000000,27938.91102578335,2104.3919153725465,15459.57,9678.58,0.0,1526.25,1274.51
2040-10-16 00:00:00.000000,22542.363037297775,2416.906154544448,14365.28,6807.6,0.0,0.0,1369.47
2040-11-16 00:00:00.000000,19839.849399079707,2220.499532704825,14762.82,3658.78,0.0,0.0,1418.25
2040-12-15 23:59:59.999999,18195.158378388216,2880.857816213549,14092.88,2431.57,0.0,0.0,1670.7
2041-01-16 00:00:00.000000,16624.244011675582,3051.513005112015,14084.88,598.98,0.0,0.0,1940.38
2041-02-16 00:00:00.000000,18685.382157531225,3086.46068630168,12031.03,3334.64,1681.03,0.0,1638.68
2041-03-16 00:00:00.000000,16354.082486205862,3058.4606863018093,11777.47,2032.28,905.64,0.0,1638.68
2041-03-23 02:36:15.177948,15912.320732597327,3051.3521772977965,11584.32,2158.56,530.75,0.0,1638.68
2041-04-16 00:00:00.000000,17591.7770169887,3027.4606862878727,10323.82,5629.28,0.0,0.0,1638.68
2041-06-16 00:00:00.000000,14487.754751580416,3289.488643696597,9477.45,719.49,323.21,2479.6,1488.01
2041-07-11 21:12:15.654270,13307.760045012143,3337.6304755354577,8314.22,320.21,3173.31,0.0,1500.02
2041-07-17 00:00:00.000000,13527.032448903694,3332.513990052471,8136.84,424.58,3465.59,0.0,1500.02
2041-09-16 00:00:00.000000,13672.794079208945,3271.513990052474,5965.05,0.0,6207.72,0.0,1500.02
2041-10-15 23:59:59.999978,13335.429535185634,3241.513990052721,4817.79,0.0,7017.62,0.0,1500.02
2041-10-17 07:11:05.121397,13335.016394213013,3240.2146252214825,4785.3,0.0,7049.69,0.0,1500.02
2041-11-16 00:00:00.000000,13674.24721261837,3210.5139900524723,4532.64,0.0,7641.59,0.0,1500.02
2041-12-17 00:00:00.000000,15747.169957122132,3179.5139900524723,6163.35,0.0,8083.8,0.0,1500.02
2042-01-17 00:00:00.000141,19791.88070458158,2647.6884792798855,4343.1,13437.09,0.0,911.44,1100.25
2042-02-14 00:00:00.014405,22121.137084725357,2143.797761590806,4834.65,11842.32,594.5,3692.1,1157.57
2042-03-17 00:00:00.000004,22332.23497924616,2966.5672187492673,5588.1,13388.24,275.45,2042.52,1037.92
2042-05-10 07:08:01.168235,22334.601039729256,2387.247886342346,6768.15,12495.17,0.0,1974.86,1096.41
2042-05-17 00:00:00.000001,22380.784362749066,2388.656597530923,6979.25,12449.92,0.0,1859.41,1092.21
2042-06-16 00:00:00.000000,23023.045820016283,2408.2446709642895,8244.47,12220.96,0.0,1478.24,1079.38
2042-07-17 00:00:00.000000,24188.09319127688,2447.5540554781746,9955.76,11656.31,133.58,1352.71,1089.73
2042-08-17 00:00:00.000000,25943.8918286157,2465.5047316506884,12132.21,11144.31,292.88,1264.11,1110.39
2042-09-16 00:00:00.000001,28274.643550523157,2445.6047663902314,14710.28,10896.84,330.55,1221.26,1115.71
2042-11-16 00:00:00.000000,29747.270435002436,2576.302877979442,17135.65,9589.02,0.0,1921.3,1101.31
2042-12-16 00:00:00.000000,26607.95392634715,2516.6796035504303,16481.41,7497.23,0.0,1493.79,1135.52
