launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Mars_ms,dv_node_2_Earth_ms,dv_node_3_Jupiter_ms
2040-05-05 20:37:13.532100,15841.56314574866,2206.860942598635,4376.15,0.0,9566.57,1898.85
2040-05-17 00:00:00.000001,15937.757960668989,2196.0599416148057,4476.43,0.0,9560.01,1901.32
2040-06-16 00:00:00.000000,17015.29086945152,2166.861985807734,5643.46,0.0,9464.57,1907.26
2040-08-03 21:44:56.012721,21925.19811967958,2109.635612692992,9498.06,1192.84,9379.81,1854.49
2040-08-17 00:00:00.000000,23110.711424481735,2099.079387633692,10613.23,1381.63,9247.65,1868.2
2040-10-15 23:59:59.999999,22204.069155272628,1408.2330814518375,15302.47,2068.92,3455.07,1377.61
2040-11-16 00:00:00.000000,20503.706008901194,1649.1511798553584,14665.14,111.73,4055.81,1671.02
2040-12-09 20:58:45.562861,19539.310074756773,1881.66287894257,13528.61,0.0,4021.08,1989.63
2040-12-17 00:00:00.000000,20389.588699259602,1869.9818007958897,13841.38,0.0,4503.56,2044.64
2041-01-17 00:00:00.000000,23696.264339576108,1865.5172088554632,12689.8,0.0,9210.34,1796.12
2041-02-17 05:04:24.571447,25065.744681909513,1866.9149781731958,11984.16,1064.53,10323.1,1693.95
2041-03-17 00:00:00.000000,28972.94456859868,1849.4470603817622,11404.72,4761.21,11100.11,1706.91
2041-04-16 00:00:00.000000,33658.519611790245,1863.3124802960401,10533.57,11468.25,9746.04,1910.66
2041-06-16 00:00:00.000000,35144.681241808605,1375.0991737604138,11291.28,3242.22,19143.16,1468.01
2041-07-16 00:00:00.000000,30041.32553526018,1378.7818970598757,7304.14,3958.28,17414.7,1364.2
2041-08-16 00:00:00.000000,23669.791806652913,1708.95371610994,6674.51,15006.15,574.79,1414.34
2041-09-16 00:00:00.000000,18562.62939588879,1702.2464789263745,4488.74,12198.2,530.12,1345.57
2041-10-16 00:00:00.000000,16628.41749487821,1687.8132398354414,3751.55,11065.15,502.55,1309.17
2041-10-31 16:11:09.896296,16390.38761127281,1678.6050739357865,3688.15,10916.21,490.37,1295.66
2041-11-16 00:00:00.000000,16625.423678247025,1670.3593315965672,3830.93,11036.54,476.08,1281.88
2042-01-16 00:00:00.000000,18396.546192609443,1800.419218702943,3878.47,12957.0,366.87,1194.2
2042-02-16 00:00:00.000000,17395.336434603872,2163.799067516516,4217.65,10080.75,1521.54,1575.4
2042-03-16 00:00:00.000000,15668.33610943194,2282.548600186389,4515.69,7843.33,1560.74,1748.58
2042-04-16 00:00:00.000000,12380.927213262541,2235.5920518464677,6465.76,3231.25,910.2,1773.72
2042-05-16 00:00:00.000000,6777.264754539505,2202.1352182721457,5018.34,0.0,0.0,1758.93
2042-06-08 10:12:43.215507,6270.837640835825,2184.569301974384,4395.47,0.0,108.31,1767.05
2042-06-16 00:00:00.000000,6312.397902584221,2176.979348775933,4438.88,0.0,106.43,1767.09
2042-07-17 00:00:00.000000,7284.133671580079,2133.4253259526704,5538.67,0.0,0.0,1745.47
2042-09-06 11:27:49.087482,11754.932662267378,2100.3410695193484,9506.46,493.33,0.0,1755.14
2042-09-16 00:00:00.000000,12508.075262909646,2092.152498385163,10294.71,460.12,0.0,1753.25
2042-10-17 00:00:00.000000,18351.343395114633,1975.8888483171486,13729.78,2979.83,0.0,1641.74
2042-12-16 00:00:00.000000,24068.736978925976,1219.6413765479756,17630.99,434.86,4376.2,1626.68
