launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Mars_ms,dv_node_2_Mars_ms,dv_node_3_Earth_ms,dv_node_4_Jupiter_ms
2039-11-16 00:00:00.000817,15282.522578900494,1742.8435954583479,5316.73,811.43,8006.16,0.0,1148.2
2039-12-17 00:00:00.000140,18907.57167542593,1783.293875904593,7887.08,1806.31,8076.07,0.0,1138.11
2040-01-17 00:00:00.000649,23912.572324941844,1560.3521755150512,9076.58,3963.62,6812.58,2742.63,1317.17
2040-02-15 00:00:00.000576,26314.54530778231,1596.2367461131437,11337.34,6150.58,6238.51,1396.18,1191.93
2040-03-17 00:00:00.000087,30323.76345901899,1610.7327138943929,13741.81,8792.98,6088.11,543.87,1156.99
2040-04-16 00:00:00.000025,34830.88244941624,1899.4412528178407,15970.16,11456.8,5415.06,643.41,1345.44
2040-05-17 00:00:00.000017,39458.1842693032,2129.6669025043934,18179.34,14142.15,4482.32,942.8,1711.57
2040-07-15 23:59:59.999799,41467.35984611334,1564.3214692161398,20813.92,12351.96,5802.27,1372.78,1126.43
2040-08-15 23:59:59.999992,35508.622489437956,1695.5646754599352,17613.69,10455.14,5620.79,568.18,1250.81
2040-09-15 23:59:59.999983,31487.930646390632,2007.6669025060696,15410.35,8940.88,4482.33,942.8,1711.57
2040-10-15 23:59:59.999615,27714.6618260798,2205.8769459534756,14054.4,10759.68,0.0,1713.3,1187.27
2040-11-15 23:59:59.999405,24807.317086374504,2364.674495557118,13394.68,8589.33,0.0,1528.39,1294.92
2040-12-15 23:59:59.999761,23122.06661038391,2188.1518427950073,12933.47,7326.96,1198.95,457.95,1204.74
2041-01-15 23:59:59.999987,20834.579600331166,2467.97741292269,12524.22,5785.17,0.0,1049.29,1475.9
2041-02-12 18:58:25.592702,20264.161715539798,2686.1921274707333,12240.28,4289.5,0.0,1981.59,1752.79
2041-03-16 00:00:00.000000,24225.29731540312,2630.859321778623,11371.2,6067.92,3115.0,1945.4,1725.77
2041-04-16 00:00:00.000000,22218.575579198245,2598.762575550012,10332.29,5097.99,3120.65,1943.11,1724.53
2041-05-16 00:00:00.000000,20121.002969191686,2568.4979495718876,9040.5,4291.55,3122.16,1942.55,1724.23
2041-06-15 23:59:59.999973,18371.75626794759,2279.2215948793128,7665.21,2086.33,5479.21,1717.74,1423.28
2041-07-15 23:59:59.999949,16037.814998574455,2184.377805519923,6227.21,2080.13,5464.1,910.38,1355.99
2041-08-15 23:59:59.999999,10922.79430855975,1974.1592667391283,4917.21,461.05,3937.48,403.77,1203.29
2041-09-15 23:59:59.999999,8991.732404879991,2141.5143205576287,4035.14,0.24,2799.71,782.66,1373.99
2041-10-14 01:45:29.984482,8074.321047743563,2246.4396889165614,3681.05,0.0,1703.75,1164.43,1525.09
2041-10-20 08:03:17.005173,7951.249586456559,2254.3078343956154,3661.59,0.0,1259.09,1487.21,1543.35
2041-11-16 00:00:00.000010,8303.000042127884,2251.6825030214472,3984.0,0.0,991.45,1754.47,1573.08
2041-12-17 00:00:07.809089,10125.857503961015,2193.6310607355244,5326.85,447.68,1113.33,1697.25,1540.75
2042-01-17 00:00:01.419829,13752.648944872632,2243.0930797462406,7657.94,1917.26,884.32,1660.11,1633.02
2042-02-14 00:00:00.000000,22215.56925244525,2295.086210872328,7720.95,7710.5,3115.43,1943.79,1724.9
2042-03-17 00:00:00.001142,25311.41945441306,1617.307930435633,9399.53,6354.47,5086.86,3258.97,1211.58
2042-04-16 00:00:00.000028,26749.53872752979,1636.2023965424678,11047.44,8468.48,4247.07,1800.76,1185.79
2042-05-17 00:00:00.000068,29267.173610649465,1630.8714499077134,12801.55,10574.86,4398.22,308.86,1183.69
2042-06-16 00:00:00.000013,31930.367005687727,1786.90923016894,14638.21,12440.39,2835.92,718.27,1297.59
2042-07-17 00:00:00.000014,35375.34193629344,1985.9690077418131,16798.7,14171.14,1545.49,1313.45,1546.57
2042-09-15 23:59:59.999998,39086.401269569804,2105.9827014616744,19667.07,12673.34,3011.62,1981.59,1752.79
2042-10-15 23:59:59.999980,34384.65338934006,1497.6395081282324,18151.6,10874.05,3636.44,535.7,1186.86
2042-11-15 23:59:59.999990,30832.035568479027,1795.44568231725,17125.14,9250.07,1948.42,1036.24,1472.17
2042-12-15 23:59:59.999906,28716.88299832541,1853.0534904926742,16483.91,7823.11,1443.4,1398.54,1567.93
