launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Venus_ms,dv_node_2_Earth_ms,dv_node_3_Mars_ms,dv_node_4_Jupiter_ms
2040-01-16 00:00:00.000000,15439.574909051562,2988.06665408676,7622.46,255.82,4417.89,1869.93,1273.47
2040-02-16 00:00:00.000000,13784.418771883415,2352.716458675858,6594.52,62.81,3738.81,2313.16,1075.12
2040-03-15 23:59:59.999995,12456.12268079753,2368.4563689422457,6031.04,0.0,3428.65,1983.01,1013.43
2040-04-16 00:00:00.000000,12179.91828128184,2213.203848772456,5799.78,565.76,1809.03,2818.97,1186.38
2040-05-15 23:59:59.999995,11376.211197984347,2205.028649391353,5554.22,0.0,1865.41,2790.7,1165.88
2040-05-21 08:06:09.465523,11370.714663691706,2199.914096461135,5537.05,0.0,1877.39,2790.54,1165.73
2040-06-16 00:00:00.000000,12903.402930443905,2154.6636962796515,5547.87,1381.37,1973.48,2816.7,1183.99
2040-07-17 00:00:00.000007,15674.156350039078,2193.843983263851,5156.44,2146.23,0.0,7297.85,1073.64
2040-09-16 00:00:00.000000,13276.361887863772,2056.492649245842,4787.5,0.0,0.0,7284.58,1204.28
2040-10-16 00:00:00.000000,11071.568192258777,2145.6891432907155,4524.2,0.0,0.0,5540.83,1006.54
2040-11-16 00:00:00.000000,9541.328685594513,2248.365297993614,4245.87,0.0,0.0,4431.37,864.09
2040-12-15 23:59:59.999997,9135.05953452581,2341.5155691955715,3950.21,0.0,0.0,4319.37,865.48
2040-12-24 04:29:49.264348,9119.923445920052,2411.667045057355,3895.68,0.0,0.0,4317.1,907.15
2041-01-17 00:00:00.000000,9141.30479612607,2475.1919719935595,3846.75,0.0,0.0,4323.98,970.57
2041-02-14 00:00:00.000000,9554.547211301768,2537.7190781489317,4126.26,0.0,0.0,4368.15,1060.13
2041-03-17 00:00:00.000000,10753.49128722093,2592.8874393905053,5140.49,0.0,0.0,4445.97,1167.04
2041-04-16 00:00:00.000000,13739.211262815754,2575.4287703015443,6441.2,0.0,1825.57,4337.27,1135.17
2041-05-17 00:00:00.000000,17995.170349597305,2537.612486313292,9705.06,0.0,2744.7,4393.67,1151.74
2041-06-24 21:44:23.851090,18484.038996259223,1820.5036667584561,10222.64,0.0,0.0,7144.43,1116.96
2041-08-16 00:00:00.000000,18947.76834989511,1767.445573753742,10769.99,0.0,0.0,7048.7,1129.08
2041-09-16 00:00:00.000000,17491.00721713683,2293.153481822445,7616.87,3368.03,0.0,5394.76,1111.35
2041-10-15 23:59:59.999999,14892.75534087178,2361.4825796624723,8287.5,0.0,0.0,5405.36,1199.9
2041-11-16 00:00:00.000000,13027.494010974786,2464.759771178946,6245.28,1114.25,2139.6,2358.18,1170.18
2041-12-16 00:00:00.000000,10219.745821346321,2597.313218954434,6068.14,0.0,1723.06,1458.53,970.01
2042-01-16 00:00:00.000000,9289.935762059587,2668.8698704609565,5505.08,0.0,1547.37,1298.93,938.55
2042-02-16 00:00:00.000000,8801.341351663143,2747.1014486466984,5012.71,0.0,1536.13,1279.03,973.47
2042-03-16 00:00:00.000000,8370.347136532671,2659.366955586956,4607.98,0.0,1530.19,1283.19,948.99
2042-04-16 00:00:00.000000,8047.285275306342,2651.6374772526124,4261.33,0.0,1547.24,1281.03,957.68
2042-05-16 00:00:00.000000,7842.257925296797,2658.122238988335,4000.78,0.0,1584.7,1281.95,974.83
2042-06-16 00:00:00.000000,7655.763226444398,2733.354567014132,3788.21,0.0,1532.15,1297.38,1038.03
2042-07-04 13:40:08.745420,7601.277651125495,2852.5641218287365,3613.37,0.0,1500.11,1346.43,1141.37
2042-07-17 00:00:00.000006,7616.613666154585,2918.2857943968866,3555.7,0.0,1474.16,1382.41,1204.34
2042-08-17 00:00:00.000001,7979.422223570486,2898.765038948906,3726.81,0.0,1684.66,1366.07,1201.88
2042-09-16 00:00:00.000000,9361.597303583123,2867.1492296569995,5195.57,0.0,1580.26,1378.24,1207.53
2042-11-16 00:00:00.000000,15465.713671686362,1928.5646610829513,4645.5,217.14,0.0,9025.33,1577.73
2042-12-15 23:59:59.999996,13868.207423559023,2050.749979584646,4834.59,1317.36,0.0,6481.5,1234.75
