launch_date,delta_v_ms,total_tof_days
2035-12-17 00:00:00.000000,25377.695320665935,2157.820587197771
2036-02-05 01:59:15.248215,26548.651795117486,2206.852229933696
2036-02-15 00:00:00.000001,26646.74890175898,2197.5254122934807
2036-04-16 00:00:00.000000,29509.90111024001,1768.244669278544
2036-05-16 00:00:00.000000,26924.37302220734,1752.9742839593744
2036-06-15 23:59:59.999999,25684.59244720977,1709.611666412952
2036-07-16 00:00:00.000000,21936.988563122777,1702.9412189555817
2036-08-04 19:37:17.697699,19773.402576679175,1881.8626121502318
2036-08-17 00:00:00.000000,19996.63603451931,1883.8514036451586
2036-09-16 00:00:00.000000,20871.77448547968,1879.285173891927
2036-10-17 00:00:00.000001,22381.776474156795,1856.2141612412336
2036-11-16 00:00:00.000000,24475.689474170642,1840.5283460083708
2036-12-17 00:00:00.000000,28683.879964942622,1834.22702679661
2037-02-16 00:00:00.000000,29897.2224279238,1457.9940381178935
2037-03-16 00:00:00.000000,26048.819335450993,1410.6098048881342
2037-04-16 00:00:00.000000,24034.445559029613,1426.4873630752681
2037-05-16 00:00:00.000000,19822.207152717416,1788.700905032803
2037-06-16 00:00:00.000000,15052.101304561347,1783.9255255422904
2037-07-16 00:00:00.000000,12542.8172296941,1778.7538112967559
2037-07-30 06:23:50.703841,12147.54288196213,1800.4783349799723
2037-09-16 00:00:00.000000,12333.725018807958,1693.7797657182343
2037-09-18 11:46:23.998068,12306.902184100338,1698.9060198103182
2037-10-17 00:00:00.000000,14315.600275933746,1706.8254371703651
2037-11-16 00:00:00.000000,19158.854688072082,1958.2239464590643
2037-12-17 00:00:00.000001,22527.110009455428,2218.9062077369476
2038-01-17 00:00:00.000000,26538.840323685843,2187.0533199905312
2038-03-16 00:00:00.000000,23731.541699890695,2219.637898839858
2038-03-27 20:14:08.254827,23581.813205307662,2208.3244638370543
2038-04-16 00:00:00.000000,23883.400562847215,2189.7626555317634
2038-05-17 00:00:00.000000,25373.765074598537,2159.523101168322
2038-07-16 00:00:00.000000,28031.040150992652,1445.5793450445358
2038-08-16 00:00:00.000000,22919.695090953548,1422.7795853645564
2038-09-16 00:00:00.000000,20049.667156414795,1712.0772505117263
2038-10-07 13:42:31.917170,18684.904675799327,1882.899193982422
2038-10-17 00:00:00.000000,19527.683426665888,1884.2865307696143
2038-11-16 00:00:00.000000,21862.9325035172,1878.0203960510867
2038-12-17 00:00:00.000000,24227.701625789206,1857.1427707175044
2039-01-17 00:00:00.000000,26886.65323165753,1845.1887084209889
2039-03-15 23:59:59.999999,31183.97644378374,1432.7649038365669
2039-04-16 00:00:00.000000,34037.3988722488,1472.7615525452409
2039-05-16 00:00:00.000000,29999.462897566336,1450.1862864573504
2039-06-16 00:00:00.000000,25916.442021404902,1757.853690463584
2039-07-16 00:00:00.000000,19075.884930540702,1763.081728311062
2039-08-16 00:00:00.000000,15340.205693439435,1750.155130281763
2039-09-16 00:00:00.000000,13886.505340474181,1733.0750254912111
2039-09-23 14:38:07.448551,13824.374555234283,1729.8689196606215
2039-10-17 00:00:00.000000,14785.511200768633,1811.324568150972
2039-11-16 00:00:00.000000,16185.147640175339,1681.9715118937181
2039-12-17 00:00:00.000000,20026.626133366324,1883.588559006454
2040-01-17 00:00:00.000000,21145.595062064218,2255.757085658068
2040-03-16 00:00:00.000000,20522.96004938004,2251.552778143484
2040-04-16 00:00:00.000000,16775.00117708435,2225.397143712273
2040-05-05 19:49:29.172857,16385.15641945054,2206.445323019127
2040-05-17 00:00:00.000001,16482.235034254416,2195.6062031393885
2040-06-16 00:00:00.000000,17564.376903133438,2166.409724532963
2040-08-03 21:17:41.768398,22469.50978507407,2109.4816098558936
2040-08-17 00:00:00.000000,23659.74574764842,2098.749231758478
2040-10-16 00:00:00.000000,22637.49232623631,1410.8035758609951
2040-11-16 00:00:00.000000,21009.642340265047,1646.0797144208898
2040-12-09 20:58:45.562863,20120.668243250933,1881.662878942747
2040-12-17 00:00:00.000000,20984.134304477753,1869.9818007963834
2041-01-17 00:00:00.000000,24230.57916875401,1865.7241458817282
2041-02-17 05:05:35.160126,25574.68955744587,1866.9154021090328
2041-03-17 00:00:00.000000,29484.335860558385,1849.3806825790878
2041-05-15 23:59:59.999996,30095.17047749684,1405.851485024927
2041-06-12 04:41:37.507669,29533.10120873276,1393.3757612259415
2041-07-16 00:00:00.000000,30458.068488310008,1387.6456604364012
2041-08-16 00:00:00.000000,24097.694945562995,1717.2485451251057
2041-09-16 00:00:00.000000,18967.678878676128,1712.0145556654256
2041-10-16 00:00:00.000000,17022.074407615542,1698.1848877122454
2041-10-31 18:35:01.323239,16780.486043553727,1689.098216706155
2041-11-16 00:00:00.000001,17012.64004206009,1681.038002288425
2042-01-16 00:00:00.000000,18763.4838794869,1794.2892511732032
2042-02-16 00:00:00.000000,17858.68748850229,2152.3101065504957
2042-03-16 00:00:00.000000,16176.69270645841,2282.5751496219104
2042-04-16 00:00:00.000000,11739.445312199165,2168.4599794627306
2042-05-16 00:00:00.000000,7289.571583665798,2202.1352182718992
2042-06-08 10:19:56.337737,6783.301557998426,2184.564327743805
2042-06-16 00:00:00.000000,6825.003311116907,2176.9793487759416
2042-07-17 00:00:00.000000,7794.561976336801,2133.425325952671
2042-09-06 11:24:19.355339,12275.473622972708,2100.343262655757
2042-09-16 00:00:00.000000,13012.597993973,2018.3876042337847
2042-10-17 00:00:00.000000,18849.363419301455,1975.8888483171481
2042-12-16 00:00:00.000000,24564.949786528756,1226.6614090436926
