launch_date,delta_v_ms,total_tof_days
2036-01-16 00:00:00.000000,29400.365679945528,2169.960829368795
2036-01-25 04:31:25.486167,29199.41275978811,2161.148695139918
2036-03-16 00:00:00.000000,27816.568861211756,2086.9876908752967
2036-03-26 04:29:31.051522,27629.46299190136,2076.800525927125
2036-05-16 00:00:00.000000,24651.76134108066,2097.251429957055
2036-06-02 09:57:27.548355,23998.385601895596,2082.7608496306707
2036-06-16 00:00:00.000005,24188.36678817271,2340.0989998992327
2036-07-17 00:00:00.000000,25062.430816313215,2306.6715600076486
2036-09-16 00:00:00.000000,26255.49114474197,2011.6060041449923
2036-10-16 00:00:00.000000,18493.764839741933,2008.1182010457633
2036-11-15 23:59:59.999997,16062.508428432335,1979.595491954876
2036-11-18 18:06:18.454424,16012.193478434974,1980.8137169108697
2037-01-02 17:03:14.439426,15656.200029631489,1962.5725923693374
2037-01-17 22:58:19.945894,15742.631912819761,1902.687896560177
2037-02-14 00:00:00.000000,19508.77445447976,1965.5010527817408
2037-03-17 00:00:00.000000,26122.523620672262,2014.5548018891116
2037-04-16 00:00:00.000000,30278.91825136448,1831.5754035800603
2037-06-12 04:04:33.508791,28598.399562755698,1949.4900821083475
2037-07-04 04:03:41.854342,28292.713138944808,2090.224167084508
2037-07-17 00:00:00.000000,30343.094433943446,2096.872604343462
2037-08-17 00:00:00.000000,36120.819091417026,2107.586074604491
2037-10-15 23:59:59.999999,40229.11142435741,2369.2510304406746
2037-11-16 00:00:00.000000,35213.93553695998,1884.8142732653478
2037-12-16 00:00:00.000000,30690.841752847104,1696.8358357984634
2038-01-16 00:00:00.000000,26451.631025744515,1837.430591812939
2038-02-16 00:00:00.000000,21338.473255055822,1863.7527056770407
2038-03-16 00:00:00.000000,17963.031646425956,1885.5356006563695
2038-04-16 00:00:00.000000,15705.97675415949,1903.939225209153
2038-05-16 00:00:00.000000,13235.525606949586,1708.5855805571791
2038-05-23 11:23:44.768333,12859.706325266745,1748.5493357157793
2038-06-16 00:00:00.000000,14666.487283426304,1765.1974731107932
2038-07-17 00:00:00.000000,21254.36630730235,1700.1289405366813
2038-09-16 00:00:00.000000,40166.31116167917,1683.818657307718
2038-10-16 00:00:00.000000,34204.44214686645,1936.8911075299281
2038-11-11 17:52:35.264309,28984.72977028619,1950.8421783027245
2038-12-08 17:58:53.725647,28623.6828607824,1968.8924347734755
2039-01-16 00:00:00.000000,28906.698087928668,1883.1145107064576
2039-02-16 00:00:00.000000,22232.64521781527,2037.3364984581278
2039-03-15 23:59:59.999999,19746.345155786796,1824.6147905468747
2039-04-11 22:50:15.052634,18959.548157229,1789.6110287376075
2039-04-25 11:53:32.983176,11626.49018306216,2006.0006406172697
2039-05-19 06:44:05.772658,11813.522057653408,2169.083695327525
2039-06-16 00:00:00.000000,18450.751398980974,2169.8456777944016
2039-07-17 00:00:00.000000,27368.968665472563,2133.2448926377833
2039-08-17 00:00:00.000000,33710.220242583535,2102.8093630639137
2039-09-16 00:00:00.000000,41131.33067769132,2079.266192844048
2039-11-16 00:00:00.000000,39960.21094629993,1943.9854437993256
2039-12-15 23:59:59.999999,37895.62590433724,2096.2374652870385
2040-01-15 23:59:59.999999,33458.0620642086,2159.638175814777
2040-02-16 00:00:00.000000,30302.458490970806,2171.693266566193
2040-03-15 23:59:59.999996,29305.548204296036,2135.0041716939927
2040-04-16 00:00:00.000000,27710.078231769592,1817.5240388794598
2040-05-06 08:15:36.205691,23973.372380229346,1568.7606807821905
2040-05-17 00:00:00.000001,24774.158309449158,1576.88809627912
2040-07-16 00:00:00.000000,31302.98801716553,2333.865426966021
2040-08-16 00:00:00.000000,28883.199547183736,2355.933675904023
2040-09-16 00:00:00.000000,27467.687003569605,2060.303180361971
2040-10-14 14:08:32.471584,24861.11160589163,2296.344411186814
2040-10-17 00:00:00.000000,25023.328536991867,2293.9336759042185
2040-11-16 00:00:00.000000,27795.545545015913,2258.9444889336305
2041-01-16 00:00:00.000000,27157.735267512187,1927.7511126531153
2041-02-16 00:00:00.000000,19447.69026158386,1924.6278387723319
2041-03-16 00:00:00.000000,17533.33372209954,1888.3744520318025
2041-04-13 18:28:37.860723,17283.192244008147,1862.4079030228759
2041-04-16 00:00:00.000043,17285.01840259426,1860.2628747684798
2041-05-17 00:00:00.000000,20222.922092596284,1833.6491379712336
2041-06-16 00:00:00.000000,24072.288621782587,2025.9390853109667
2041-07-17 00:00:00.000001,28783.68326804902,1977.8428677791767
2041-08-17 00:00:00.000000,32814.27806178808,1998.209740495651
2041-09-16 00:00:00.000000,37578.54750046949,2031.864971244807
2041-10-17 00:00:00.000000,42498.10249167246,2091.6974095477117
2041-11-16 00:00:00.000000,47252.40261489178,2143.0744567694205
2042-01-16 00:00:00.000000,46144.02152514139,1688.2041094844872
2042-02-16 00:00:00.000000,42951.3087772217,1598.889722802977
2042-03-16 00:00:00.000000,37679.130233986696,1527.0996076277274
2042-04-16 00:00:00.000000,32835.502401514575,1596.5751462501412
2042-05-16 00:00:00.000000,29335.529422703486,1662.7350629524494
2042-06-16 00:00:00.000000,26923.86021622917,1749.2402402585524
2042-07-09 21:39:56.733936,26152.370222412053,1877.6340050522597
2042-07-17 00:00:00.000001,26329.596078374027,1887.242231366368
2042-08-19 21:17:16.224877,27016.919633182166,1581.1093307918813
2042-10-16 00:00:00.000000,24429.74677635665,2127.565070960765
2042-11-15 23:59:59.999999,19130.738718528744,2357.8710985844814
2042-12-01 05:11:43.194406,18568.138001803403,2081.348598803293
