launch_date,delta_v_ms,total_tof_days
2036-01-15 23:59:59.999880,10802.630557418384,2778.214975758079
2036-02-16 00:00:00.000000,7897.016125989045,2794.2621633848685
2036-02-18 08:00:22.866613,7538.71047544195,2804.2488955456492
2036-03-23 04:30:31.197852,8252.89634901616,3671.356567354779
2036-04-16 00:00:00.000000,8970.11230323638,3647.544428441053
2036-05-26 19:51:41.876450,11868.761597339126,3468.567676979959
2036-06-16 00:00:00.000000,14608.599562562047,3551.5671900464586
2036-08-16 00:00:00.000000,18090.712008456565,3374.7238990763335
2036-09-16 00:00:00.000000,16970.41849470145,2499.8413108218488
2036-10-16 00:00:00.000000,14964.536750874604,2582.386020586953
2036-11-16 00:00:00.000000,13995.347835216377,2532.5926574044483
2036-12-12 10:14:21.814936,9313.822739752384,2380.964803250717
2036-12-17 00:00:00.000010,9819.677980780902,2378.2251071379906
2037-01-17 00:00:00.000018,13381.442001468147,2385.420134416273
2037-02-22 00:02:10.186348,15233.579067563405,3769.9524556471574
2037-03-17 00:00:00.000001,17018.899989056084,3749.4397956282287
2037-04-24 03:08:41.388037,18139.697009373056,3707.981291062596
2037-05-17 00:00:00.000000,18683.7573828334,3654.5034606383656
2037-07-15 23:59:59.999993,20128.853212878967,2492.2320285959404
2037-08-15 23:59:59.999996,18163.84265530369,2499.181825473205
2037-09-11 14:23:46.871398,17525.39348879664,2508.8786733212246
2037-09-16 00:00:03.589174,15752.415980054255,2548.30450198455
2037-10-17 00:00:00.000000,18481.63464985405,2445.442963120242
2037-12-16 00:00:00.000000,17107.031238560034,2391.6527674871622
2038-01-16 00:00:00.000000,15845.057297204517,2358.939157881943
2038-02-16 00:00:00.000000,12837.206102225651,2348.203702590105
2038-03-16 00:00:00.000000,9268.687397953092,2283.193355093578
2038-04-12 13:48:01.681193,7568.318274995252,3032.7938311481757
2038-04-20 14:01:04.119692,6810.482497569543,3490.8005187941358
2038-05-17 00:00:00.000000,7199.703107083107,3473.347297633192
2038-06-16 00:00:00.000000,9123.986617429366,3322.489859797597
2038-07-17 00:00:00.000000,13178.042441430627,3144.304046404246
2038-08-17 00:00:00.000000,16258.591485135737,3567.99750933442
2038-10-16 00:00:00.000000,17353.418702469968,3281.047702637552
2038-11-15 23:59:59.999998,15999.461177788018,3512.1833436510296
2038-12-16 00:00:00.000000,16596.158142727923,2080.5292295211334
2039-01-11 15:24:58.160086,15647.032763623365,2587.7426605065807
2039-01-17 00:00:00.000002,15826.820521072776,2581.250648505655
2039-03-16 00:00:00.000000,14735.502483509374,3651.5056190860464
2039-04-15 23:59:59.999997,13534.768626198449,3766.84065182799
2039-05-16 00:00:00.000000,12870.181517801511,3744.674078571362
2039-05-26 13:21:22.679384,12811.34525553804,3739.864962859613
2039-06-16 00:00:00.000000,14492.728689867234,3703.5726126676855
2039-08-15 23:59:59.999996,14189.915746414687,3647.227811114381
2039-08-17 12:02:03.059818,14189.226050370306,3645.5461929559183
2039-09-16 00:00:00.000007,14320.955346296176,3612.69413219124
2039-10-17 19:34:08.132256,17844.44823176268,2433.7283051657587
2039-12-16 00:00:00.000000,19894.42561479096,2849.4699706644374
2040-01-16 00:00:00.000000,18627.768103228158,3431.281803808327
2040-02-16 00:00:00.000000,16964.13131821459,3401.071357198364
2040-03-16 00:00:00.000000,14712.784867065822,3365.8970333770167
2040-04-16 00:00:00.000000,10041.691181437269,2268.633503687928
2040-05-16 00:00:00.000000,6601.660276859529,3171.606676100217
2040-05-24 06:01:04.956753,6599.083016588973,2932.0825620404553
2040-06-16 00:00:00.000000,6815.564844062854,2854.4538252437237
2040-07-17 00:00:00.000000,8753.552564422771,2680.1044678181547
2040-08-30 22:04:06.183346,11769.805440065895,3301.618738034895
2040-09-16 00:00:00.000000,12584.487311778681,3584.6475793462846
2040-10-17 00:00:00.000000,15546.670249595161,3545.4490904205823
2040-12-15 23:59:59.999999,18842.365949301915,2976.114768237588
2041-01-16 00:00:00.000000,16921.623495445332,3295.1834931826165
2041-02-07 02:03:25.995904,15822.147323278843,3432.8862311324774
2041-03-16 00:00:00.000000,15352.532598350454,3364.057777531623
2041-03-31 12:29:29.064855,14386.033640389727,3444.9430744436804
2041-05-16 00:00:00.000000,14232.177355755735,3202.722077590188
2041-06-16 00:00:00.000000,12930.574650604676,3169.8530932455246
2041-07-16 00:00:00.000000,12127.741603443928,3542.4159547147274
2041-07-20 16:25:15.328701,12097.109700921947,3559.990749476544
2041-09-16 00:00:00.000000,10035.64410123734,3671.2184969033915
2041-10-15 23:59:59.999999,9651.066541151416,3634.4113935725672
2041-10-23 02:59:59.489888,9465.910084444233,3634.09350280746
2041-11-16 00:00:00.000000,9700.622314585364,3639.4471427606372
2041-12-17 00:00:00.000000,11698.062642626388,3579.2184969033906
2042-02-16 00:00:00.000000,18136.352118187926,2499.5194555024564
2042-03-16 00:00:00.000000,16412.31400154819,2555.9951528330753
2042-04-16 00:00:00.000000,13999.247447616322,2567.9328001258837
2042-05-16 00:00:00.000000,10543.175073078364,2761.350777125458
2042-06-15 23:59:59.999928,7847.069025827001,2911.720235282479
2042-07-16 00:00:00.000000,6455.416252575186,2869.2646753506338
2042-07-20 07:00:19.191331,6416.243506723013,2928.517051613646
2042-08-17 00:00:00.000000,6966.2230976220035,3302.0579753650145
2042-09-16 00:00:00.000000,8796.587277709723,3507.594682037081
2042-10-17 00:00:00.000000,11442.6355660402,3129.9926034453906
2042-11-16 00:00:00.000000,13232.620218936514,3578.0670844563033
