launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Earth_ms,dv_node_2_Venus_ms,dv_node_3_Earth_ms,dv_node_4_Jupiter_ms
2040-01-08 19:32:06.067797,8053.83133116484,1823.8827221180206,3702.93,0.03,0.0,3168.37,1182.5
2040-01-17 00:00:00.000038,8196.026718571226,1822.581871088536,3329.6,502.15,0.0,3177.52,1186.76
2040-02-15 00:00:00.000052,9124.545862691602,1762.8457836641364,3206.88,1546.83,0.0,3199.63,1171.21
2040-04-15 23:59:59.999515,9083.780496085237,1722.631557560996,3206.88,1507.15,0.0,3188.58,1181.18
2040-05-15 23:59:59.999986,8804.925487511126,1688.6173294958069,3206.88,1228.4,0.0,3190.6,1179.04
2040-06-15 23:59:59.999856,8591.024873377588,1662.3771200574538,3206.88,1014.38,0.0,3188.19,1181.58
2040-07-15 23:59:59.934492,8442.129770438742,1637.5967856567381,3206.88,865.71,0.0,3185.03,1184.51
2040-08-15 23:59:59.953245,8318.156114173435,1609.7694243930298,3206.88,743.08,0.0,3181.85,1186.35
2040-09-15 23:59:59.999959,8207.540654045557,1579.6624529166022,3206.88,635.84,0.0,3178.0,1186.82
2040-10-05 12:14:59.096597,8139.804541247438,1558.9182268785817,3206.88,572.23,0.0,3174.69,1186.0
2040-10-23 09:19:32.468216,8563.256941912048,2196.763682511691,3206.88,4056.79,0.0,0.0,1299.59
2040-11-16 00:00:00.000336,8758.332785640729,2529.3679289215843,3206.88,3869.76,0.0,0.0,1681.7
2041-01-08 01:00:20.906547,13058.836848703857,1606.3883814404007,3206.88,2411.23,977.67,5182.31,1280.75
2041-02-15 23:59:59.998871,14754.033282567763,2120.4207044585337,3206.88,10225.71,0.0,0.0,1321.45
2041-03-15 23:59:59.999337,14753.84622412141,2092.374434593127,3206.88,10225.55,0.0,0.0,1321.42
2041-04-15 23:59:59.997968,14753.541597403897,2061.3401222542193,3206.88,10225.27,0.0,0.0,1321.39
2041-05-15 23:59:59.999213,14753.166321567627,2031.2974545280083,3206.88,10224.92,0.0,0.0,1321.36
2041-06-15 23:59:59.997880,14752.663022179773,2000.224486339407,3206.88,10224.47,0.0,0.0,1321.32
2041-06-25 13:28:10.281775,14752.470887141975,1990.9435634241026,3206.88,10224.09,0.0,0.0,1321.5
2041-08-15 23:59:59.999999,10590.185247993162,2048.648196001581,3207.04,1679.37,2738.76,1399.3,1565.72
2041-09-15 23:59:59.999890,7821.520760788153,2077.2080885764253,3477.32,632.59,2297.93,0.0,1413.68
2041-10-15 23:59:59.999464,7854.322596605181,1759.1521162223364,4034.86,0.0,0.0,2545.67,1273.79
2041-10-17 00:00:00.000343,7427.145436618306,2085.465822130116,4025.43,0.0,2032.55,0.0,1369.17
2041-11-18 11:07:56.692697,9705.326393288538,2193.056886441182,3206.88,5252.67,0.0,0.0,1245.78
2042-01-15 23:59:59.999963,9073.147581152029,1954.496670488916,3206.88,2537.33,1913.74,0.0,1415.21
2042-02-15 23:59:59.999655,8299.230627715702,1932.3212739487958,3206.88,1886.63,1801.34,0.0,1404.38
2042-03-15 23:59:59.999475,7977.006511258145,1911.646692683325,3206.88,1504.78,1871.02,0.0,1394.32
2042-04-15 23:59:59.999785,7776.504977944597,1884.710882020092,3206.88,1263.03,1917.62,0.0,1388.98
2042-05-15 23:59:59.999023,7639.47382362214,1857.238480840977,3206.88,1094.62,1952.27,0.0,1385.71
2042-06-15 23:59:59.999105,7524.408955138111,1828.2932380185125,3206.88,948.51,1985.92,0.0,1383.1
2042-07-15 23:59:59.999453,8004.1755898599895,1489.4145920909652,3206.88,984.96,0.0,2541.24,1271.1
2042-07-17 00:00:00.000020,7561.485195902365,1823.2988586136976,3206.88,993.12,1999.19,0.0,1362.3
2042-08-23 18:37:25.492141,7823.419155999136,1825.5559555783914,3206.88,3113.49,0.0,0.0,1503.06
2042-10-15 23:59:59.986693,8013.998432438944,2253.2490707655484,3206.88,2992.22,573.22,0.0,1241.69
2042-10-22 19:23:26.745539,8013.741688261116,2246.9043977350098,3206.88,2991.63,573.48,0.0,1241.76
2042-11-16 00:00:00.000231,8252.104183048417,2668.2781585842763,3206.88,2597.76,864.33,0.0,1583.14
