launch_date,delta_v_ms,total_tof_days
2035-12-17 00:00:00.000002,12115.962307104053,2890.435065615623
2036-02-16 00:00:00.000000,11993.121580657022,2828.2137049170838
2036-03-14 13:29:51.308126,11499.58638083537,2790.3596498315637
2036-03-17 00:00:00.000010,11503.782522251673,2786.7890440242413
2036-04-16 00:00:00.000000,12388.805036529797,2756.3953047323666
2036-05-17 00:00:00.000000,16660.139143456938,2845.1556123376336
2036-06-16 00:00:00.000000,21181.683274330477,3906.8243325504027
2036-08-15 23:59:59.986734,12091.437659564415,2642.7585829177974
2036-09-15 23:59:59.553457,15210.494053449995,2873.9654896336433
2036-10-15 23:59:59.849019,13542.205273314103,2866.993517624345
2036-11-15 23:59:59.999999,13815.885328095896,2892.21902293417
2036-12-12 20:44:23.327580,13353.97985492606,2941.776628621956
2037-01-09 19:22:09.722225,10644.917175514352,2766.72241340037
2037-02-15 23:07:56.761992,9563.891261189665,2705.8692396058873
2037-03-15 19:21:10.021258,9379.893015110942,2683.9290345397208
2037-03-21 05:49:15.294351,9371.69476250853,2680.2573957603477
2037-04-16 00:00:00.000000,12308.588913598242,2980.9932795329887
2037-05-17 00:00:00.000009,12824.11303970673,3864.066050004405
2037-06-16 00:00:00.000001,15126.80575459456,3945.640303876614
2037-08-15 23:59:59.997230,14192.241555062985,2881.3381448637765
2037-09-15 23:59:59.982537,13279.754368207969,2944.6752068522146
2037-09-22 05:58:26.010175,13691.112201847533,2493.1371629479395
2037-10-21 16:19:16.843232,13108.794339136806,2956.6097805237864
2037-11-16 00:00:00.065610,13179.8630447462,2776.0763023219106
2037-12-17 00:00:00.023840,13957.64308431007,2760.0591898324674
2038-01-17 00:00:00.000001,15842.719107285342,2719.5319142885373
2038-03-16 00:00:00.000000,14147.404087908215,3063.4631951412416
2038-04-15 23:59:59.999998,12751.0943381598,3028.8194773038226
2038-05-15 23:59:59.999998,11968.489701715243,3127.9322001538276
2038-05-27 20:16:28.061597,11895.978437357868,3175.827868717178
2038-07-16 00:00:00.000000,11160.29905787768,3900.0962266282436
2038-08-12 09:53:02.730994,10898.74738526417,3878.048756591018
2038-09-16 00:00:00.000000,10661.360965787402,3895.4242725488352
2038-10-15 23:59:59.999996,10448.708194440065,3872.123497578873
2038-10-25 04:45:22.270969,10409.099748752771,3863.242695205119
2038-12-15 23:59:59.999997,13488.349530612242,2780.2433865695616
2039-01-15 23:59:59.999997,12827.318484061941,2750.7577500127795
2039-02-15 23:59:59.999989,12395.229351046793,2717.312076615543
2039-03-15 23:59:59.129441,7992.56685748928,3657.060071905912
2039-04-15 23:59:42.088651,7691.99673594117,3625.990567789804
2039-04-21 16:49:11.947323,9094.30920330622,3368.7102016466793
2039-05-21 15:34:39.828938,11806.477474688023,2621.1467787615384
2039-06-16 00:00:00.000001,12218.94706051181,2594.0982928650697
2039-07-17 00:00:00.337328,10029.042036374822,3533.990607474314
2039-08-17 00:00:00.000081,14232.629759868496,3934.9563896621585
2039-10-11 16:03:24.539275,22204.815754487397,2415.5424076809663
2039-11-15 23:59:59.997781,14240.50130396311,2438.3738950507964
2039-12-15 23:59:59.987509,14517.29407455405,2917.484249577239
2040-01-15 23:59:59.999997,14282.10496997962,2797.9594271852793
2040-02-15 23:59:59.999859,11084.762134530109,2886.6380069553707
2040-03-15 23:59:59.996899,9915.898447734318,3364.7373899603413
2040-03-28 06:43:05.352179,9868.108879778172,3395.424419328943
2040-05-15 23:59:59.833781,9710.4811227215,3316.1965908691313
2040-05-19 01:36:55.662296,9708.954424915499,3314.397529531134
2040-06-16 00:00:00.115473,9844.043503061499,3299.7120186349116
2040-07-17 00:00:00.000000,10493.446628507236,4024.0151327306717
2040-09-10 05:22:57.596142,13917.170245453719,3969.0318800342566
2040-09-16 00:00:00.000007,14163.571747503656,3963.255816243077
2040-10-17 00:00:00.000006,17296.013683089623,3923.588706615043
2040-12-15 23:59:59.999424,14160.727610283147,2581.9049753645713
2041-01-09 09:05:26.071342,13908.49686000316,2631.7194623908476
2041-01-17 00:00:00.677947,13360.22895974893,2927.3862902576543
2041-03-06 21:31:53.359048,11418.438422113502,2795.50167867905
2041-03-22 01:27:47.639865,11432.836945515844,2786.0448137017493
2041-05-15 23:59:59.999996,15355.43587066197,3208.842595911782
2041-06-16 00:00:00.000000,13946.000398923386,3106.558849348708
2041-07-16 00:00:00.000000,12775.26538275556,3138.5554049061116
2041-08-16 00:00:00.000000,11906.456643953306,3098.592289321815
2041-09-16 00:00:00.000000,10017.8248614451,3187.386091806679
2041-10-03 15:40:14.156783,9873.302185136265,3165.290929283837
2041-10-17 00:00:00.000000,10251.463814613004,3135.775263305029
2041-12-16 00:00:00.000000,9590.08289365873,3229.8968688180976
2041-12-29 19:02:53.000389,9537.607930516608,3223.716206119779
2042-01-17 00:00:00.000000,12530.492064257996,3217.934935758962
2042-03-15 23:59:59.999879,9345.246836622151,2828.8044220623988
2042-04-15 23:59:59.998456,8822.230540487248,2833.5422590526573
2042-04-17 22:25:30.672142,8819.291552687537,2838.300041866385
2042-06-15 23:59:59.983292,8258.336196712358,2728.8560700333705
2042-07-15 23:59:59.998245,7927.367725154958,2721.2376858162297
2042-07-22 15:07:50.402681,7911.67152018858,2719.5653988250297
2042-08-17 00:00:00.000069,8306.85731387738,2636.0794594732733
2042-09-16 00:00:00.000009,9489.108073031774,2641.04829219237
2042-10-17 00:00:00.000125,13116.967501326246,3999.5023330479034
2042-11-16 00:00:00.000137,16547.74750269841,3962.7613435732324
